"bg";"cn";"cz";"de";"default";"dk";"en";"es";"fi";"fr";"gr";"hr";"hu";"ir";"it";"jp";"nl";"no";"pl";"pt";"ro";"rs";"ru";"se";"sk";"sl";"tr"
"tooltip_airplaneName";"Името на самолета, за който искате да създадете боядисване.\nТрябва да е уникално във всичките ви проекти.\nАко работите върху няколко боядисвания за самолета, уверете се, че името е еднакво във всичките ви проекти.";"您想要为其制作涂装的飞机名称。\n该名称在所有项目中应保持唯一。\n如果您正在为同一架飞机制作多个涂装，请确保名称在所有项目中保持一致。";"Název letadla, pro které chcete vytvořit lakování.\nMěl by být jedinečný ve všech vašich projektech.\nPokud pracujete na více lakováních pro dané letadlo, ujistěte se, že název je ve všech vašich projektech konzistentní.";"Der Name des Flugzeugs, für das Du eine Lackierung erstellen möchtest.\nSollte in allen Ihren Projekten eindeutig sein.\nWenn Du an mehreren Lackierungen für das Flugzeug arbeitest, stelle sicher, daß der Name in allen Ihren Projekten konsistent ist.";"The name of the aircraft for which you want to create a paint scheme.\nMust be unique across all your projects.\nIf you are working on multiple paint schemes for the aircraft, make sure the name is consistent across all your projects.";"Navnet på det fly, du vil oprette en bemaling til.\nSkal være entydigt i alle dine projekter.\nHvis du arbejder på flere bemalinger til flyet, skal du sikre dig, at navnet er konsistent i alle dine projekter.";"The name of the aircraft for which you want to create a paint scheme.\nMust be unique across all your projects.\nIf you are working on multiple paint schemes for the aircraft, make sure the name is consistent across all your projects.";"El nombre del avión para el que desea crear una librea.\nDebe ser único en todos sus proyectos.\nSi trabaja en varias libreas para el avión, asegúrese de que el nombre sea coherente en todos sus proyectos.";"Sen lentokoneen nimi, jolle haluat luoda maalauksen.\nSen tulisi olla yksilöllinen kaikissa projekteissasi.\nJos työskentelet useiden maalauksien parissa samalle lentokoneelle, varmista, että nimi on yhdenmukainen kaikissa projekteissasi.";"Le nom de l'avion pour lequel vous souhaitez créer une livrée.\nDoit être unique dans tous vos projets.\nSi vous travaillez sur plusieurs livrées pour cet avion, assurez-vous que le nom est cohérent dans tous vos projets.";"Το όνομα του αεροσκάφους για το οποίο θέλετε να δημιουργήσετε μια βαφή.\nΠρέπει να είναι μοναδικό σε όλα τα έργα σας.\nΕάν εργάζεστε σε περισσότερες από μία βαφές για το αεροσκάφος, βεβαιωθείτε ότι το όνομα είναι συνεπές σε όλα τα έργα σας.";"Naziv zrakoplova za koji želite stvoriti livery.\nMora biti jedinstven u svim vašim projektima.\nAko radite na više liveryja za zrakoplov, osigurajte da je naziv dosljedan u svim vašim projektima.";"A repülőgép neve, amelyhez festést szeretnél készíteni.\nMinden projektben egyedi kell, hogy legyen.\nHa több festésen dolgozol a repülőgéphez, győződj meg róla, hogy a név minden projektben következetes.";"Ainm an aerárthaigh ar mian leat liobairí a chruthú dó.\nBa chóir go mbeadh sé uathúil ar fud do chuid tionscadal go léir.\nMá tá tú ag obair ar liobairí iolracha don aerárthach, cinntigh go bhfuil an t-ainm comhsheasmhach ar fud do chuid tionscadal go léir.";"Il nome dell'aereo per cui vuoi creare una livrea.\nDeve essere univoco in tutti i tuoi progetti.\nSe lavori su più livree per lo stesso aereo, assicurati che il nome sia coerente in tutti i tuoi progetti.";"塗装を作成したい航空機の名前。\nすべてのプロジェクトで一意である必要があります。\n同じ航空機の複数の塗装を作成している場合は、すべてのプロジェクトで名前が一致していることを確認してください。";"De naam van het vliegtuig waarvoor je een livery wilt maken.\nMoet uniek zijn in al je projecten.\nAls je aan meerdere liveries voor het vliegtuig werkt, zorg er dan voor dat de naam in al je projecten consistent is.";"Navnet på flyet du ønsker å lage en lakkering for.\nBør være unikt i alle prosjektene dine.\nHvis du arbeider med flere lakkeringer for flyet, må du sørge for at navnet er konsistent i alle prosjektene dine.";"Nazwa samolotu, dla którego chcesz stworzyć malowanie.\nPowinna być unikalna we wszystkich Twoich projektach.\nJeśli pracujesz nad kilkoma malowaniami dla tego samolotu, upewnij się, że nazwa jest spójna we wszystkich Twoich projektach.";"O nome da aeronave para a qual pretende criar uma pintura.\nDeve ser único em todos os seus projetos.\nSe estiver a trabalhar em várias pinturas para a aeronave, certifique-se de que o nome é consistente em todos os seus projetos.";"Numele avionului pentru care dorești să creezi o schemă de vopsire.\nTrebuie să fie unic în toate proiectele tale.\nDacă lucrezi la mai multe scheme de vopsire pentru același avion, asigură-te că numele este consistent în toate proiectele tale.";"Име авиона за који желите да креирате ливери.\nТреба да буде јединствено у свим вашим пројектима.\nАко радите на више ливери за авион, уверите се да је име доследно у свим вашим пројектима.";"Название самолета, для которого вы хотите создать окраску.\nДолжно быть уникальным во всех ваших проектах.\nЕсли вы работаете над несколькими окрасками для самолета, убедитесь, что название остается неизменным во всех ваших проектах.";"Namnet på det flygplan som du vill skapa en lackering för.\nBör vara unikt i alla dina projekt.\nOm du arbetar med flera lackeringar för flygplanet, se till att namnet är konsekvent i alla dina projekt.";"Názov lietadla, pre ktoré chceš vytvoriť lakovanie.\nMal by byť jedinečný vo všetkých tvojich projektoch.\nAk pracuješ na viacerých lakovaniach pre lietadlo, uisti sa, že názov je konzistentný vo všetkých tvojich projektoch.";"Ime letala, za katerega želiš ustvariti barvno shemo.\nMora biti edinstveno v vseh tvojih projektih.\nČe delaš na več barvnih shemah za letalo, poskrbi, da je ime v vseh tvojih projektih enako.";"Livery oluşturmak istediğiniz uçağın adı.\nTüm projelerinizde benzersiz olmalıdır.\nUçak için birden fazla livery üzerinde çalışıyorsanız, adın tüm projelerinizde tutarlı olduğundan emin olun."
"tooltip_airplanes";"Имената на всички самолети, върху които работите.";"您正在处理的所有飞机的名称。";"Názvy všech letadel, na kterých pracujete.";"Die Namen aller Flugzeuge, an denen Du arbeitest.";"The names of all aircraft you are working on.";"Navnene på alle de fly, du arbejder på.";"The names of all aircraft you are working on.";"Los nombres de todos los aviones en los que trabaja.";"Kaikkien lentokoneiden nimet, joiden parissa työskentelet.";"Les noms de tous les avions sur lesquels vous travaillez.";"Τα ονόματα όλων των αεροσκαφών στα οποία εργάζεστε.";"Nazivi svih zrakoplova na kojima radite.";"Az összes repülőgép neve, amelyeken dolgozol.";"Ainmneacha na n-eitleán go léir atá tú ag obair orthu.";"I nomi di tutti gli aerei su cui lavori.";"現在作業中のすべての航空機の名前。";"De namen van alle vliegtuigen waaraan je werkt.";"Navnene på alle flyene du jobber med.";"Nazwy wszystkich samolotów, nad którymi pracujesz.";"Os nomes de todas as aeronaves em que está a trabalhar.";"Numele tuturor avioanelor la care lucrezi.";"Имена свих авиона на којима радите.";"Названия всех самолетов, над которыми вы работаете.";"Namnen på alla flygplan som du arbetar med.";"Názvy všetkých lietadiel, na ktorých pracujete.";"Imena vseh letal, na katerih delate.";"Üzerinde çalıştığınız tüm uçakların adları."
"tooltip_browseDirectories";"Търсене в директории.";"浏览目录。";"Prohledat adresáře.";"Verzeichnisse durchsuchen.";"Browse directories.";"Gennemse mapper.";"Browse directories.";"Explorar directorios.";"Selaa kansioita.";"Parcourir les répertoires.";"Αναζήτηση σε καταλόγους.";"Pregledaj direktorije.";"Könyvtárak átkutatása.";"Brabhsáil eolai.";"Sfoglia directory.";"ディレクトリを検索。";"Mappen doorzoeken.";"Søk i kataloger.";"Przeszukaj katalogi.";"Pesquisar diretórios.";"Căutare în directoare.";"Прегледај директоријуме.";"Просмотреть каталоги.";"Sök i kataloger.";"Prehľadávať adresáre.";"Iskanje po mapah.";"Dizinlere göz at."
"tooltip_browseFiles";"Търсене във файлове.";"浏览文件。";"Prohledat soubory.";"Dateien durchsuchen.";"Browse files.";"Gennemse filer.";"Browse files.";"Explorar archivos.";"Selaa tiedostoja.";"Parcourir les fichiers.";"Αναζήτηση σε αρχεία.";"Pregledaj datoteke.";"Fájlok átkutatása.";"Brabhsáil comhaid.";"Sfoglia file.";"ファイルを検索。";"Bestanden doorzoeken.";"Søk i filer.";"Przeszukaj pliki.";"Pesquisar ficheiros.";"Căutare în fișiere.";"Прегледај фајлове.";"Поиск по файлам.";"Sök i filer.";"Prehľadávať súbory.";"Iskanje po datotekah.";"Dosyalara göz at."
"tooltip_flagHQAlbd";"Flag HQ Albedo";"Flag HQ Albedo";"Flag HQ Albedo";"Flag HQ Albedo";"Flag HQ Albedo";"Flag HQ Albedo";"Flag HQ Albedo";"Marcar albedo HQ";"Flag HQ Albedo";"Marquer l'albédo HQ";"Flag HQ Albedo";"Zastavi HQ Albedo";"Flag HQ Albedo";"Flag HQ Albedo";"Contrassegna albedo HQ";"Flag HQ Albedo";"Vlag HQ Albedo";"Flag HQ Albedo";"Flag HQ Albedo";"Flag HQ Albedo";"Flag HQ Albedo";"Flag HQ Albedo";"Флаг HQ Albedo";"Flagga HQ Albedo";"Flag HQ Albedo";"Flag HQ Albedo";"HQ albedo işaretle"
"tooltip_flagHQDecal";"Flag HQ Decal";"Flag HQ Decal";"Flag HQ Decal";"Flag HQ Decal";"Flag HQ Decal";"Flag HQ Decal";"Flag HQ Decal";"Marcar calcomanía HQ";"Flag HQ Decal";"Marquer le décalque HQ";"Flag HQ Decal";"Zastavi HQ Decal";"Flag HQ Decal";"Flag HQ Decal";"Contrassegna decalcomania HQ";"Flag HQ Decal";"Vlag HQ Decal";"Flag HQ Decal";"Flag HQ Decal";"Flag HQ Decal";"Flag HQ Decal";"Flag HQ Decal";"Флаг HQ Decal";"Flagga HQ Decal";"Flag HQ Decal";"Flag HQ Decal";"HQ Decal işaretle"
"tooltip_flagNoAlphaAlbd";"Flag Force No Alpha Albedo";"Flag Force No Alpha Albedo";"Flag Force No Alpha Albedo";"Flag Force No Alpha Albedo";"Flag Force No Alpha Albedo";"Flag Force No Alpha Albedo";"Flag Force No Alpha Albedo";"Marcar forzar albedo sin alfa";"Flag Force No Alpha Albedo";"Marquer « forcer l'albédo sans alpha »";"Flag Force No Alpha Albedo";"Zastavi Force No Alpha Albedo";"Flag Force No Alpha Albedo";"Flag Force No Alpha Albedo";"Contrassegna forza albedo senza alfa";"Flag Force No Alpha Albedo";"Vlag Force No Alpha Albedo";"Flag Force No Alpha Albedo";"Flag Force No Alpha Albedo";"Flag Force No Alpha Albedo";"Flag Force No Alpha Albedo";"Flag Force No Alpha Albedo";"Флаг Force No Alpha Albedo";"Flagga Force No Alpha Albedo";"Flag Force No Alpha Albedo";"Flag Force No Alpha Albedo";"Alfa albedo yok zorla işaretle"
"tooltip_flagNoAlphaDecal";"Flag Force No Alpha Decal";"Flag Force No Alpha Decal";"Flag Force No Alpha Decal";"Flag Force No Alpha Decal";"Flag Force No Alpha Decal";"Flag Force No Alpha Decal";"Flag Force No Alpha Decal";"Marcar forzar calcomanía sin alfa";"Flag Force No Alpha Decal";"Marquer « forcer le décalque sans alpha »";"Flag Force No Alpha Decal";"Zastavi Force No Alpha Decal";"Flag Force No Alpha Decal";"Flag Force No Alpha Decal";"Contrassegna forza decalcomania senza alfa";"Flag Force No Alpha Decal";"Vlag Force No Alpha Decal";"Flag Force No Alpha Decal";"Flag Force No Alpha Decal";"Flag Force No Alpha Decal";"Flag Force No Alpha Decal";"Flag Force No Alpha Decal";"Флаг Force No Alpha Decal";"Flagga Force No Alpha Decal";"Flag Force No Alpha Decal";"Flag Force No Alpha Decal";"Alfa decal yok zorla işaretle"
"tooltip_imageToMSFSKTX2Path";"Директория ImageToMSFSKTX2";"ImageToMSFSKTX2 目录";"Adresář ImageToMSFSKTX2";"ImageToMSFSKTX2-Verzeichnis";"ImageToMSFSKTX2 directory";"ImageToMSFSKTX2-mappe";"ImageToMSFSKTX2 directory";"Directorio ImageToMSFSKTX2";"ImageToMSFSKTX2-kansio";"Répertoire ImageToMSFSKTX2";"Κατάλογος ImageToMSFSKTX2";"Direktorij ImageToMSFSKTX2";"ImageToMSFSKTX2 könyvtár";"Eolaire ImageToMSFSKTX2";"Directory ImageToMSFSKTX2";"ImageToMSFSKTX2ディレクトリ";"ImageToMSFSKTX2-map";"ImageToMSFSKTX2-katalog";"Katalog ImageToMSFSKTX2";"Diretório ImageToMSFSKTX2";"Directorul ImageToMSFSKTX2";"Directory ImageToMSFSKTX2";"Каталог ImageToMSFSKTX2";"ImageToMSFSKTX2-katalog";"Adresár ImageToMSFSKTX2";"Mapa ImageToMSFSKTX2";"ImageToMSFSKTX2 dizini"
"tooltip_layoutGeneratorToolPath";"Изпълним файл на инструмента за генериране на оформление.\nТъй като този файл се съхранява на произволно място във вашата файлова система";"布局生成器工具的可执行文件。# 由于该文件可存储在文件系统的任意位置";"Spustitelný soubor nástroje pro generování rozvržení.\nJelikož je tento soubor uložen kdekoli ve vašem souborovém systému";"Ausführbare Datei des Layoutgenerator-Tools.\nDa diese Datei an einer beliebigen Stelle in Ihrem Dateisystem abgelegt wird";"Executable file of the Layout Generator tool.\nSince this file is stored anywhere in your file system";"Kørbar fil til Layoutgenerator-værktøjet.\nDa denne fil gemmes et vilkårligt sted i dit filsystem";"Executable file of the Layout Generator tool.\nSince this file is stored anywhere in your file system";"Ejecutable de la herramienta Layoutgenerator.\nYa que esto se coloca en cualquier lugar de tu sistema de archivos";"Layoutgenerator-työkalun suoritustiedosto.\nKoska tämä tiedosto tallennetaan mihin tahansa kohtaan tiedostojärjestelmässäsi";"Exécutable de l'outil Layoutgenerator.\nComme il est simplement placé n'importe où dans votre système de fichiers";"Εκτελέσιμο αρχείο του εργαλείου δημιουργίας διάταξης.\nΔεδομένου ότι αυτό το αρχείο αποθηκεύεται σε οποιαδήποτε θέση στο σύστημα αρχείων σας";"Izvršna datoteka alata Layout Generator.\nBudući da se ova datoteka pohranjuje bilo gdje u vašem sustavu datoteka";"A Layoutgenerator eszköz futtatható fájlja.\nMivel ez a fájl a fájlrendszer bármely pontján elhelyezhető";"Comhad inbhainte de chuid an uirlis Ghinireora Leagan Amach.\nÓs rud é go stóráiltear an comhad seo áit ar bith i do chóras comhad";"Eseguibile dello strumento Layoutgenerator.\nPoiché questo viene semplicemente inserito in un punto qualsiasi del tuo filesystem";"レイアウトジェネレータツールの実行ファイル。# このファイルはファイルシステム内の任意の場所に配置されるため";"Uitvoerbaar bestand van de Layoutgenerator-tool.\nAangezien dit bestand op een willekeurige locatie in je bestandssysteem wordt opgeslagen";"Kjørbar fil for Layoutgenerator-verktøyet.\nSiden denne filen lagres hvor som helst i filsystemet ditt";"Plik wykonywalny narzędzia do generowania układów.\nPonieważ ten plik jest umieszczany w dowolnym miejscu w systemie plików";"Ficheiro executável da ferramenta Layout Generator.\nUma vez que este ficheiro é guardado em qualquer local do seu sistema de ficheiros";"Fișier executabil al instrumentului de generare a layout-ului.\nDeoarece acest fișier este stocat în orice loc din sistemul tău de fișiere";"Извршна датотека алата Layout Generator.\nПошто се ова датотека чува било где у вашем систему датотека";"Исполняемый файл инструмента Layoutgenerator.\nПоскольку этот файл хранится в любом месте вашей файловой системы";"Körbar fil för layoutgeneratorverktyget.\nEftersom denna fil kan placeras var som helst i ditt filsystem";"Spustiteľný súbor nástroja Layoutgenerator.\nKeďže tento súbor je uložený kdekoľvek vo vašom súborovom systéme";"Izvedljiva datoteka orodja za ustvarjanje postavitev.\nKer je ta datoteka shranjena kjerkoli v vašem datotečnem sistemu";"Layoutgenerator aracı yürütülebilir dosyası.\nBu, dosya sisteminizin herhangi bir yerine atıldığından"
"tooltip_liveryName";"Името на проекта за боядисване, върху който работите.\nТрябва да е уникално за всички боядисвания на един самолет.";"您正在处理的涂装项目名称。\n对于同一架飞机的所有涂装，该名称应保持唯一。";"Název projektu lakování, na kterém pracujete.\nMěl by být jedinečný pro všechna lakování daného letadla.";"Der Name des Lackierungsprojekts, an dem Du arbeitest.\nSollte für alle Lackierungen eines Flugzeugs eindeutig sein.";"The name of the livery project you are working on.\nShould be unique for all liveries of an aircraft.";"Navnet på det lakeringprojekt, du arbejder på.\nSkal være entydigt for alle lakeringer af et fly.";"The name of the livery project you are working on.\nShould be unique for all liveries of an aircraft.";"El nombre del proyecto de librea en el que estás trabajando.\nDebe ser único en todas las libreas de un avión.";"Sen maalausprojektin nimi, jonka parissa työskentelet.\nSen tulisi olla yksilöllinen kaikille lentokoneen maalauksille.";"Le nom du projet de livrée sur lequel vous travaillez.\nDoit être unique pour toutes les livrées d'un avion.";"Το όνομα του έργου βαφής στο οποίο εργάζεστε.\nΠρέπει να είναι μοναδικό για όλες τις βαφές ενός αεροσκάφους.";"Naziv projekta liveryja na kojem radite.\nTrebao bi biti jedinstven za sve liveryje zrakoplova.";"A festésprojekt neve, amelyen dolgozol.\nEgy repülőgép összes festésénél egyértelműnek kell lennie.";"Ainm an tionscadail lonnú atá á úsáid agat.\nBa chóir go mbeadh sé uathúil do lonnuithe uile aerárthaigh.";"Il nome del progetto di livrea su cui stai lavorando.\nDeve essere univoco in tutte le livree per un aereo.";"現在作業中の塗装プロジェクト名。\n航空機のすべての塗装において一意である必要があります。";"De naam van het lakproject waaraan je werkt.\nMoet uniek zijn voor alle lakken van een vliegtuig.";"Navnet på lakkeringsprosjektet du jobber med.\nBør være entydig for alle lakkeringer av et fly.";"Nazwa projektu malowania, nad którym pracujesz.\nPowinna być unikalna dla wszystkich malowań samolotu.";"O nome do projeto de pintura em que está a trabalhar.\nDeve ser único para todas as pinturas de uma aeronave.";"Numele proiectului de vopsire la care lucrezi.\nAr trebui să fie unic pentru toate vopselele unui avion.";"Назив пројекта ливерија на којем радите.\nТреба да буде јединствен за све ливерије авиона.";"Название проекта окраски, над которым вы работаете.\nДолжно быть уникальным для всех окрасок самолета.";"Namnet på det lackeringsprojekt du arbetar med.\nBör vara unikt för alla lackeringar av ett flygplan.";"Názov projektu lakovania, na ktorom pracujete.\nMal by byť jedinečný pre všetky lakovania lietadla.";"Ime projekta barvne sheme, na katerem delate.\nMora biti edinstveno za vse barvne sheme letala.";"Üzerinde çalıştığınız livery projesinin adı.\nBir uçak için tüm livery'lerde benzersiz olmalıdır."
"tooltip_locale";"Език";"语言";"Jazyk";"Sprache";"Language";"Sprog";"Language";"Idioma";"Kieli";"Langue";"Γλώσσα";"Jezik";"Nyelv";"Teanga";"Lingua";"言語";"Taal";"Språk";"Język";"Idioma";"Limba";"Језик";"Язык";"Språk";"Jazyk";"Jezik";"Dil"
"tooltip_mainLibraryRootFolder";"Коренната папка на вашата основна библиотека с добавки\nили мястото, където съхранявате окончателните си пакети за доставка.\nТова се използва като начална директория за Filechoose.";"您的主插件库的根目录\n或您存储最终发布包的位置。\n这将作为 Filechoose 的起始目录。";"Kořenová složka vaší hlavní knihovny s doplňky\nnebo místo, kde ukládáte své finální balíčky pro distribuci.\nToto se používá jako výchozí adresář pro Filechoose.";"Der Root Ordner Deines Hauptbibliothek mit Add-ons\noder der Ort, an dem Du deine endgültigen Pakete für die Auslieferung speicherst.\nDies wird als Startverzeichnis für Filechoose verwendet.";"The root folder of your main add-on library\nor the location where you store your final packages for distribution.\nThis is used as the starting directory for Filechoose.";"Rodmappen i dit hovedbibliotek med add-ons\neller det sted, hvor du gemmer dine endelige pakker til levering.\nDette bruges som startmappe for Filechoose.";"The root folder of your main add-on library\nor the location where you store your final packages for distribution.\nThis is used as the starting directory for Filechoose.";"El directorio raíz de tu biblioteca principal de complementos\no donde guardas tus paquetes finales para su entrega.\nSe utiliza como directorio de inicio para los selectores de archivos.";"Pääkirjastosi juurikansio, jossa on lisäosat\ntai paikka, johon tallennat lopulliset pakettisi toimitusta varten.\nTätä käytetään Filechoose-työkalun aloituskansiona.";"Le répertoire racine de votre bibliothèque principale d'extensions\nou l'emplacement où vous stockez vos paquets finaux pour la livraison.\nIl sert de répertoire de départ pour les sélecteurs de fichiers.";"Ο ριζικός φάκελος της κύριας βιβλιοθήκης σας με πρόσθετα\nή η θέση στην οποία αποθηκεύετε τα τελικά πακέτα σας για παράδοση.\nΑυτό χρησιμοποιείται ως κατάλογος εκκίνησης για το Filechoose.";"Korisnički direktorij vaše glavne biblioteke dodataka\nili lokacija na kojoj pohranjujete svoje konačne pakete za distribuciju.\nOvo se koristi kao početni direktorij za Filechoose.";"A fő könyvtár gyökérmappája az add-onokkal\nvagy az a hely, ahol a végleges csomagokat tárolod a kiadáshoz.\nEz lesz a Filechoose indítókönyvtára.";"Fólder fréimhe do phríomhleabharlann breiseán\nnó an suíomh ina stórálann tú do chuid pacáistí deiridh le dáileadh.\nÚsáidtear é seo mar an t-eolaire tosaigh do Filechoose.";"La directory principale della tua libreria di add-on\no dove conservi i pacchetti finali per la distribuzione.\nViene utilizzata come directory di partenza per i selettori di file.";"アドオンを含むメインライブラリのルートフォルダ\nまたは、配布用の最終パッケージを保存する場所。\nこれはFilechooseの開始ディレクトリとして使用されます。";"De hoofdmap van je hoofdbibliotheek met add-ons\nof de locatie waar je je definitieve pakketten opslaat voor levering.\nDit wordt gebruikt als startmap voor Filechoose.";"Rotmappen til hovedbiblioteket ditt med tilleggsprogrammer\neller stedet der du lagrer de endelige pakkene dine for levering.\nDette brukes som startkatalog for Filechoose.";"Katalog główny Twojej biblioteki dodatków\nlub miejsce, w którym przechowujesz ostateczne pakiety do dystrybucji.\nJest to używane jako katalog startowy dla Filechoose.";"A pasta raiz da sua biblioteca principal de add-ons\nou o local onde guarda os seus pacotes finais para distribuição.\nIsto é utilizado como diretório inicial para o Filechoose.";"Dosarul rădăcină al bibliotecii tale principale cu add-on-uri\nsau locul în care îți salvezi pachetele finale pentru livrare.\nAcesta este folosit ca director de pornire pentru Filechoose.";"Коренска фасцикла ваше главне библиотеке додатака\nили локација где чувате ваше коначне пакете за дистрибуцију.\nОво се користи као почетна фасцикла за Filechoose.";"Корневой каталог вашей основной библиотеки с дополнениями\nили место, где вы храните свои окончательные пакеты для выпуска.\nЭто используется в качестве стартового каталога для Filechoose.";"Rotmappen för ditt huvudbibliotek med tillägg\neller den plats där du sparar dina slutgiltiga paket för leverans.\nDetta används som startkatalog för Filechoose.";"Koreňový priečinok vašej hlavnej knižnice s doplnkami\nalebo miesto, kde ukladáte svoje finálne balíčky na distribúciu.\nToto sa používa ako počiatočný priečinok pre Filechoose.";"Korenjska mapa vaše glavne knjižnice z dodatki\nali mesto, kjer shranjujete končne pakete za dostavo.\nTo se uporablja kot začetna mapa za Filechoose.";"Eklentilerinizin ana kütüphanesinin kök dizini\nveya teslimat için son paketlerinizi sakladığınız yer.\nBu, dosya seçiciler için başlangıç dizini olarak kullanılır."
"tooltip_modelTexturesDir";"Директорията с текстури на вашия Blender проект (или на проекта, по който работите).\nТова е директорията, в която са съхранени текстурите на вашите модели под формата на PNG файлове.";"您的 Blender 项目（或您正在处理的项目）的纹理目录。# 这是存储模型纹理（PNG 文件）的目录。";"Adresář textur vašeho projektu Blender (nebo projektu, na kterém pracujete).\nToto je adresář, ve kterém jsou uloženy textury vašich modelů ve formě souborů PNG.";"Das Texturverzeichnis Deines Blender-Projekts (oder des Projekts, mit dem Du arbeitest).\nDies ist das Verzeichnis, in dem Ihre Modelltexturen in Form von PNG-Dateien gespeichert sind.";"The texture directory of your Blender project (or the project you are working on).\nThis is the directory where your model textures are stored as PNG files.";"Teksturkataloget for dit Blender-projekt (eller det projekt, du arbejder på).\nDette er det katalog, hvor dine modelteksturer er gemt som PNG-filer.";"The texture directory of your Blender project (or the project you are working on).\nThis is the directory where your model textures are stored as PNG files.";"El directorio de texturas de tu proyecto de Blender (o cualquier otro programa con el que trabajes).\nEste es el directorio donde se encuentran las texturas de tus modelos en forma de archivos PNG.";"Blender-projektisi (tai sen projektin, jonka parissa työskentelet) tekstuurikansio.\nTämä on kansio, johon mallisi tekstuurit on tallennettu PNG-tiedostoina.";"Le répertoire des textures de votre projet Blender (ou tout autre logiciel que vous utilisez).\nC'est le répertoire où se trouvent les textures de vos modèles sous forme de fichiers PNG.";"Ο κατάλογος υφών του έργου σας στο Blender (ή του έργου στο οποίο εργάζεστε).\nΑυτός είναι ο κατάλογος στον οποίο αποθηκεύονται οι υφές των μοντέλων σας με τη μορφή αρχείων PNG.";"Direktorij s teksturama vašeg Blender projekta (ili projekta na kojem radite).\nTo je direktorij u kojem su pohranjene teksture vašeg modela kao PNG datoteke.";"A Blender-projekted (vagy az a projekt, amelyen dolgozol) textúra-könyvtára.\nEz az a könyvtár, amelyben a modell textúrái PNG-fájlok formájában vannak tárolva.";"Eolaire uigeachtaí do thionscadail Blender (nó an tionscadal atá á oibriú agat).\nSeo an t-eolaire ina stóráiltear uigeachtaí do mhúnla mar chomhaid PNG.";"La directory delle texture del tuo progetto Blender (o qualunque programma tu utilizzi).\nÈ la directory in cui risiedono le texture dei tuoi modelli sotto forma di file png.";"Blenderプロジェクト（または作業中のプロジェクト）のテクスチャディレクトリ。\nこれは、モデルのテクスチャがPNGファイルとして保存されているディレクトリです。";"De textuurmap van je Blender-project (of het project waaraan je werkt).\nDit is de map waarin je modeltexturen in de vorm van PNG-bestanden zijn opgeslagen.";"Teksturkatalogen til Blender-prosjektet ditt (eller prosjektet du jobber med).\nDette er katalogen der modellteksturene dine er lagret som PNG-filer.";"Katalog tekstur Twojego projektu w Blenderze (lub projektu, nad którym pracujesz).\nJest to katalog, w którym przechowywane są tekstury modeli w postaci plików PNG.";"O diretório de texturas do seu projeto do Blender (ou do projeto em que está a trabalhar).\nEste é o diretório onde as texturas do seu modelo estão guardadas na forma de ficheiros PNG.";"Directorul de texturi al proiectului dvs. Blender (sau al proiectului la care lucrați).\nAcesta este directorul în care sunt stocate texturile modelului dvs. sub formă de fișiere PNG.";"Директоријум са текстурама вашег Blender пројекта (или пројекта на којем радите).\nОво је директоријум у којем су ваше текстуре модела сачуване као PNG фајлови.";"Каталог текстур вашего проекта Blender (или проекта, над которым вы работаете).\nЭто каталог, в котором хранятся текстуры ваших моделей в виде файлов PNG.";"Texturkatalogen för ditt Blender-projekt (eller det projekt du arbetar med).\nDetta är katalogen där dina modelltexturer sparas i form av PNG-filer.";"Adresár textúr vášho projektu Blender (alebo projektu, na ktorom pracujete).\nToto je adresár, v ktorom sú uložené textúry vašich modelov vo forme súborov PNG.";"Imenik tekstur vašega projekta Blender (ali projekta, na katerem delate).\nTo je imenik, v katerem so shranjene teksture vaših modelov v obliki datotek PNG.";"Blender (veya çalıştığınız her neyse) projenizin doku dizini.\nBu, modellerinizin dokularının png dosyaları şeklinde bulunduğu dizindir."
